iteration	status	dev_rmse	val_rmse	dev_clean	dev_low	dev_medium	dev_high	dev_stripe	dev_gradient	val_clean	val_low	val_medium	val_high	val_stripe	val_gradient	runtime_s	memory_mb	description
0	keep	19.189958	16.316211	12.51424	13.654685	25.827248	39.456737	12.406353	11.280486	14.0578	14.324811	18.203646	25.289574	13.950822	12.070614	0.496	61.4	fixed k=112 PCA
1	keep	18.881278	15.673184	11.467993	12.930186	26.728685	40.538226	11.246736	10.375841	12.928023	13.251048	18.02386	25.797207	12.856646	11.182321	0.467	65.3	Gaussian distance-weighted PCA over the existing 112-neighbor patch
2	crash																	Per-query surface-variation selection among 32-, 64-, and 112-neighbor Gaussian-weighted PCA fits (failed: CalledProcessError)
3	discard	18.980142		12.010469	13.301114	26.104124	39.749797	11.880433	10.834917							0.499	65.3	Reduce the Gaussian PCA distance-decay coefficient from 2.0 to 1.0
4	crash																	Gaussian-weighted quadratic jet refinement in the local PCA frame (failed: CalledProcessError)
5	discard	19.010716		10.961	12.592576	27.846634	41.975914	10.713788	9.974382							0.489	66.0	Increase the Gaussian PCA distance-decay coefficient from 2.0 to 3.0
6	discard	18.659968	16.256665	12.560939	13.695058	24.30852	37.592444	12.542513	11.260333	14.185551	14.436622	18.134133	24.376034	14.191721	12.215929	0.511	77.1	Increase the Gaussian-weighted PCA neighborhood from 112 to 160 neighbors
7	provisional	18.735248		13.733729	14.645704	23.192077	35.017165	13.529916	12.292894							0.581	77.5	Increase the Gaussian-weighted PCA neighborhood from 112 to 224 neighbors
8	discard	19.589027		10.672644	12.370827	30.331627	44.197667	10.298139	9.663262							0.457	65.4	Reduce the Gaussian-weighted PCA neighborhood from 224 to 80 neighbors
9	discard	18.367378	16.817228	12.989264	14.565899	23.192077	35.017165	12.763239	11.676621	15.116433	15.603469	18.552867	23.880496	15.001139	12.748963	0.678	71.3	Select between 80- and 224-neighbor Gaussian PCA using small-scale surface variation
10	keep	18.672701	15.375965	10.973759	12.676787	26.935962	40.673865	10.81413	9.961702	12.385435	12.797494	17.99356	25.888841	12.414488	10.775975	0.682	78.4	One-step Cauchy residual reweighting of the retained 112-neighbor Gaussian PCA
11	discard	18.638573		10.88909	12.636968	26.979219	40.698092	10.740032	9.888034							0.658	70.2	Reduce the one-step Cauchy residual cutoff from 2.5 to 2.0 sigma
12	discard	18.702036		11.046121	12.7121	26.900192	40.652488	10.877286	10.024027							0.664	77.2	Increase the one-step Cauchy residual cutoff from 2.5 to 3.0 sigma
13	discard	18.37989	15.914907	11.970245	13.291809	24.400275	37.682085	12.096309	10.838616	13.60451	13.926909	18.057591	24.4021	13.728805	11.76953	0.768	78.0	Increase the retained robust Gaussian-PCA neighborhood from 112 to 160 neighbors
14	discard	18.69935		11.01092	12.702438	26.949367	40.661211	10.861906	10.010255							0.726	70.2	Center Cauchy reweighting on the median signed plane residual
15	keep	18.609693	15.275942	10.80331	12.5931	27.036479	40.738023	10.672651	9.814593	12.199279	12.647664	17.985286	25.932021	12.258449	10.632953	0.826	72.8	Add a second Cauchy residual-reweighting step to the retained robust Gaussian PCA
16	discard	18.589854		10.732106	12.574338	27.090524	40.771083	10.617084	9.753986							1.021	72.9	Increase Cauchy residual reweighting from two to three IRLS steps
17	crash																	Freeze the Cauchy residual scale from the initial Gaussian-PCA fit across both IRLS steps
18	discard	18.631545		10.847126	12.60805	27.03352	40.737056	10.708061	9.855456							0.756	83.2	Hold the initial MAD residual scale fixed during both Cauchy plane refinements
19	crash																	Gate the second Cauchy refinement by initial PCA surface variation
20	discard	18.667599		10.96254	12.676863	26.935962	40.673865	10.80526	9.951107							0.831	81.6	Use initial surface variation to conditionally accept the second Cauchy IRLS refinement
21	discard	18.642562		10.892238	12.638587	26.982398	40.705526	10.747048	9.889577							0.828	78.3	Relax the Cauchy cutoff from 2.5 to 3.0 sigma only during the second IRLS refinement
22	discard	18.573155		10.699968	12.544213	27.103405	40.778162	10.586136	9.727048							0.848	73.0	Tighten the Cauchy cutoff from 2.5 to 2.0 sigma only during the second IRLS refinement
23	discard	18.790807		11.294515	12.848593	26.726016	40.535182	11.098462	10.242076							0.894	80.1	Replace Cauchy residual weights with Huber weights in both robust PCA refinements
24	discard	21.199881		11.924836	13.438769	31.857784	47.228304	11.92181	10.827785							0.909	78.0	Use provisional tangent-plane distance in the Gaussian kernel for both robust PCA refinements
25	discard	17.869984	15.711446	11.599311	13.15205	23.769633	36.464585	11.661852	10.57247	13.272627	13.683379	18.103797	24.177355	13.484999	11.546519	1.227	101.1	Extend robust Gaussian-PCA support to 224 neighbors while retaining the 112th-neighbor kernel bandwidth
26	discard	18.157194	15.468579	11.264631	12.840361	24.8014	38.340467	11.363323	10.332984	12.80705	13.227472	17.975308	24.669421	12.98709	11.145133	1.018	78.3	Use a 160-neighbor Gaussian tail while retaining the 112th-neighbor kernel bandwidth
27	discard	23.827748		12.603854	15.325856	39.859284	51.854093	12.313313	11.010086							0.811	74.0	Anchor each robust Gaussian-PCA plane at the query instead of the weighted neighborhood centroid
28	discard	18.584173		10.807809	12.598524	26.941128	40.675399	10.672978	9.809197							0.877	73.1	Gate the second Cauchy refinement by the initial normal eigengap
29	discard	18.423357	15.273004	10.878196	12.590974	26.306482	39.950378	10.893602	9.920511	12.271997	12.701398	17.974945	25.663654	12.349972	10.676056	0.959	78.5	Initialize local robust PCA from a 160-neighbor Gaussian tail, then retain 112-neighbor IRLS refinements
30	discard	18.584703		10.731517	12.559153	27.085076	40.766441	10.612164	9.75387							0.837	73.0	Use a decreasing 3.0-to-2.0 sigma Cauchy cutoff schedule across the two robust PCA refinements
31	provisional	18.534534		10.586437	12.497821	27.179849	40.823407	10.490951	9.628741							0.846	81.9	Tighten only the second Cauchy refinement cutoff from 2.5 to 1.5 sigma
32	discard	18.500528		10.487469	12.467782	27.246354	40.859829	10.404918	9.536815							0.879	73.0	Tighten only the second Cauchy refinement cutoff from 1.5 to 1.0 sigma
33	discard	18.495918		10.481589	12.492625	27.236342	40.84881	10.3924	9.523742							0.855	74.8	Tighten only the second Cauchy refinement cutoff from 1.5 to 0.5 sigma
34	discard	18.519192		10.543973	12.477568	27.20702	40.840533	10.456628	9.589434							0.887	81.6	Tighten the first Cauchy refinement cutoff from 2.5 to 2.0 sigma while retaining the 1.5-sigma second cutoff
35	discard	18.501064		10.4974	12.455882	27.234001	40.85637	10.417071	9.545659							0.877	73.0	Tighten the first Cauchy refinement cutoff from 2.5 to 1.5 sigma to match the retained second cutoff
36	discard	18.530493		10.633503	12.525278	27.078297	40.758444	10.526422	9.661015							0.831	80.9	Smoothly relax the second Cauchy cutoff using initial normal eigengap ambiguity
37	keep	18.117488	15.142221	10.680058	12.560788	25.889379	39.084313	10.674182	9.816209	12.053857	12.551116	18.007935	25.499444	12.213512	10.527459	0.988	78.7	Initialize robust local PCA from a 224-neighbor Gaussian tail, then refine on 112 neighbors
38	discard	18.093078		10.640583	12.537831	25.875139	39.084259	10.641535	9.779122							1.002	85.9	Recenter the broad provisional normal on the local 112-neighbor Gaussian centroid before robust refinement
39	discard	18.230178		10.559616	12.438349	26.372184	39.92467	10.462653	9.623597							1.001	85.6	Tighten only the 224-neighbor initialization kernel from Gaussian decay 2.0 to 3.0
40	crash																	Relax only the 224-neighbor initialization kernel from Gaussian decay 2.0 to 1.0
41	discard	18.095621		10.878451	12.657387	25.698507	38.548242	10.845916	9.945224							1.044	93.2	Relax only the 224-neighbor initialization kernel from Gaussian decay 2.0 to 1.0
42	discard	18.285766		10.345726	12.269917	27.026494	40.416996	10.183702	9.471758							1.003	81.2	Reduce the robust refinement neighborhood and Gaussian bandwidth anchor from 112 to 96 neighbors
43	discard	18.175115		10.602814	12.494226	26.232815	39.44853	10.542406	9.7299							1.034	88.6	Use 96 neighbors only for the final Cauchy PCA refinement
44	keep	17.97892	15.090036	10.599116	12.546449	25.65961	38.712875	10.59565	9.759817	11.977157	12.496903	18.016659	25.430792	12.161079	10.457625	1.243	80.3	Use Gaussian-distance-weighted medians for residual location and MAD scale in both Cauchy refinements
45	discard	17.915474	15.040824	10.497519	12.503614	25.62137	38.688261	10.515491	9.66659	11.890774	12.427392	18.012721	25.43387	12.095971	10.384219	1.281	92.7	Center first-pass Cauchy residuals on their Gaussian-weighted median
46	discard	17.929403		10.513786	12.514622	25.643448	38.703039	10.520471	9.681051							1.265	81.1	Center second-pass Cauchy residuals on their Gaussian-weighted median
47	keep	17.889097	15.016975	10.449493	12.487665	25.615878	38.684347	10.470239	9.626961	11.848447	12.398743	18.011682	25.434062	12.058746	10.350167	1.311	92.6	Center both Cauchy refinement losses on the Gaussian-weighted residual median
48	discard	17.841476		10.283035	12.412846	25.764449	38.842135	10.274981	9.471408							1.285	83.4	Narrow only the robust-refinement Gaussian bandwidth from the 112th- to the 96th-neighbor radius while retaining 112-point support
49	discard	17.93498		10.57913	12.551377	25.522557	38.586119	10.615097	9.755598							1.299	97.6	Widen only the robust-refinement Gaussian bandwidth from the 112th- to the 128th-neighbor radius while retaining 112-point support
50	crash																	Add a Gaussian- and Cauchy-weighted quadratic jet refinement in the final robust PCA frame
51	discard	17.852589		10.418166	12.48803	25.571539	38.598388	10.442889	9.596524							1.284	80.5	Tighten the final Cauchy refinement cutoff from 1.5 to 1.25 weighted-MAD sigmas
52	discard	17.971906		10.464763	12.481274	25.806808	38.967342	10.484978	9.62627							1.276	82.2	Relax only the first Cauchy refinement cutoff from 2.5 to 3.0 weighted-MAD sigmas
53	provisional	17.834106		10.499058	12.52178	25.330333	38.42337	10.5457	9.684392							1.389	86.3	Extend only the final robust PCA refinement from 112 to 128 neighbors
54	provisional	17.763026		10.552872	12.566519	24.977546	38.078913	10.642151	9.760154							1.534	88.7	Extend only the final robust PCA refinement from 128 to 160 neighbors
55	discard	17.763026		10.552872	12.566519	24.977546	38.078913	10.642151	9.760154							1.48	88.8	Extend only the final robust PCA refinement from 160 to 224 neighbors
56	discard	17.786708		10.644638	12.615333	24.881245	37.981419	10.748038	9.849574							1.521	103.9	Widen only the 160-neighbor final-refinement Gaussian bandwidth from the 112th- to the 128th-neighbor radius
57	discard	17.775111		10.601423	12.590195	24.927366	38.026492	10.698553	9.806637							1.506	91.0	Widen only the final-refinement Gaussian bandwidth from the 112th- to the 120th-neighbor radius
58	crash																	Narrow only the 160-neighbor final-refinement Gaussian bandwidth from the 112th- to the 104th-neighbor radius
59	discard	17.749612		10.500074	12.536964	25.036248	38.134919	10.580574	9.708895							1.504	100.8	Narrow only the 160-neighbor final-refinement Gaussian bandwidth from the 112th- to the 104th-neighbor radius
60	discard	17.756779		10.527522	12.551952	25.00502	38.106349	10.614371	9.735457							1.49	93.9	Narrow only the 160-neighbor final-refinement Gaussian bandwidth from the 112th- to the 108th-neighbor radius
61	discard	17.733021		10.435808	12.504265	25.101665	38.200768	10.50575	9.64987							1.531	90.8	Narrow only the 160-neighbor final-refinement Gaussian bandwidth from the 112th- to the 96th-neighbor radius
62	discard	17.797892		10.534278	12.546346	25.132386	38.232688	10.606737	9.734917							1.462	105.4	Reduce only the final robust PCA refinement from 160 to 144 neighbors
63	discard	17.778734		10.544358	12.554361	25.052854	38.143808	10.627693	9.749329							1.45	88.1	Reduce only the final robust PCA refinement from 160 to 152 neighbors
64	discard	17.739042		10.509917	12.54531	24.984879	38.082702	10.596035	9.715409							1.328	86.7	Estimate the final-pass robust residual location and scale from the core 112-neighbor patch while retaining 160-neighbor covariance support
