iteration	candidate_commit	dev_rmse	val_rmse	runtime_s	memory_mb	status	failure_stage	failure_message	complexity	description	rationale	source
0	b787b409d4250130d9519c528daded678b76910e	19.189958	16.316211	0.496	61.4	keep			baseline	fixed k=112 PCA	local covariance tangent plane	Hoppe1992
1	5baafd87111a9f77903f43b986f662e8cabbe277	18.881278	15.673184	0.467	65.3	keep			low	Gaussian distance-weighted PCA over the existing 112-neighbor patch	Uniform PCA gives distant samples the same leverage as nearby samples, increasing neighborhood bias where curvature changes across a patch. Weighting each point by exp(-2(d/r)^2), with r the 112th-neighbor distance, emphasizes query-local geometry while retaining all samples for noise averaging and automatically scales with density. The cost is one weight vector, a weighted centroid, and a weighted covariance per query. Ablate by replacing the weights with uniform values to recover the fixed-k PCA baseline.	original
2						crash			medium	Per-query surface-variation selection among 32-, 64-, and 112-neighbor Gaussian-weighted PCA fits (failed: CalledProcessError)	A fixed neighborhood cannot simultaneously average positional noise on planar regions and avoid neighborhood bias on curved regions. For each query, fit the retained Gaussian-weighted covariance at three nested scales and choose the normal whose covariance minimizes surface variation lambda_min / (lambda_0 + lambda_1 + lambda_2). Noise-dominated planar patches should favor broader support, whereas curvature raises the normal-direction variance of broad patches and should favor narrower support. The cost is three small symmetric eigendecompositions instead of one. Ablate the mechanism by restricting the candidate scales to 112 neighbors, exactly recovering the current weighted-PCA frontier.	original
3	329479de5203e3743aa4ed127827b9d61275d459	18.980142		0.499	65.3	discard			baseline	Reduce the Gaussian PCA distance-decay coefficient from 2.0 to 1.0	The current Gaussian kernel may over-localize the 112-neighbor patch: its boundary weight exp(-2) is only 0.135, reducing the effective sample support and making the covariance more sensitive to positional noise. Using exp(-(d/r)^2) raises the boundary weight to exp(-1) = 0.368, preserving a query-centered bias while averaging more observations; this should improve noisy cases at the possible cost of modestly greater curvature bias, with no asymptotic or implementation cost. Ablate by restoring the decay coefficient to 2.0 while leaving every other estimator choice unchanged.	original
4						crash			medium	Gaussian-weighted quadratic jet refinement in the local PCA frame (failed: CalledProcessError)	A planar PCA fit can tilt under smooth curvature or asymmetric sampling because it must explain the whole patch with one plane. After retaining the current weighted PCA frame, fit the normalized local height z = c0 + c1 x + c2 y + c3 x^2 + c4 xy + c5 y^2 with the same Gaussian weights; the query normal is proportional to (-c1, -c2, 1). The quadratic terms absorb curvature, so the linear gradient more directly estimates the tangent at the query, with expected gains on curved and density-biased patches. The added cost is one batched 6-by-6 regularized least-squares solve per query. Ablate by returning the initial PCA frame normal and omitting the polynomial fit, exactly recovering the current frontier estimator.	https://doi.org/10.1016/j.cagd.2004.09.008
5	eda652853d6c7214ee66eb4690035142f382a645	19.010716		0.489	66.0	discard			baseline	Increase the Gaussian PCA distance-decay coefficient from 2.0 to 3.0	The retained 112-neighbor estimator can still suffer curvature bias because points near the patch boundary retain weight exp(-2) = 0.135 and therefore influence the fitted plane despite being least representative of the query tangent. Using exp(-3(d/r)^2) lowers the boundary weight to exp(-3) = 0.050, strengthening query locality while preserving all neighbors and the density-adaptive radius; the preceding result that weakening decay to 1.0 reduced accuracy motivates testing the opposite direction. The expected benefit is less tangent bias on curved or nonuniform patches, with the possible cost of less noise averaging but no added runtime or algorithmic complexity. Ablate by restoring the coefficient to 2.0 with all other estimator choices unchanged.	original
6	708694325a3af890f82c0e999575a33ec3cc2fac	18.659968	16.256665	0.511	77.1	discard			baseline	Increase the Gaussian-weighted PCA neighborhood from 112 to 160 neighbors	The retained query-local weighting improves clean, low-noise, stripe, and gradient conditions but loses accuracy at medium and high noise, indicating insufficient sample support. Increasing k from 112 to 160 supplies more observations for covariance averaging, while the retained exp(-2(d/r)^2) kernel limits the leverage of the more distant samples and adapts its radius to local density. Medium and high noise should improve; clean and curved geometry may regress from the broader spatial support. The cost is 43% more neighborhood data in the same single weighted covariance and eigendecomposition. Ablate by restoring k=112 while keeping the decay coefficient and all other computations unchanged.	original
7	f762cb1b131914bc708fd09493dc0e0d5bfc3003	18.735248		0.581	77.5	provisional			baseline	Increase the Gaussian-weighted PCA neighborhood from 112 to 224 neighbors	The k=160 probe established that broader support substantially improves medium- and high-noise normals, but its support may still be too small to average strong positional noise. Increasing k to 224 tests the next ordered scale anchor while retaining exp(-2(d/r)^2) weighting to limit distant-point leverage and adapt the radius to density. Medium and high noise should improve further; clean, low-noise, stripe, gradient, and strongly curved patches may regress because the larger spatial footprint increases neighborhood bias. The cost is twice the neighborhood data of k=112 in the same single covariance and eigendecomposition. Ablate by restoring k=112 with the weighting and all other computations unchanged.	original
8	e08121db77f676832bc1603d012becdab0a3c0a9	19.589027		0.457	65.4	discard			baseline	Reduce the Gaussian-weighted PCA neighborhood from 224 to 80 neighbors	The broad 224-neighbor patch averages positional noise but measurably increases neighborhood bias on clean, low-noise, stripe, and gradient conditions because curved or spatially varying geometry farther from the query can tilt one fitted plane. Reducing k to 80 uses a smaller density-adaptive radius while retaining exp(-2(d/r)^2) weighting, so the covariance represents more query-local geometry. Clean, low-noise, stripe, and gradient accuracy should improve; medium and high noise may regress because fewer samples are available for averaging. The change reduces memory and covariance work without adding an algorithmic mechanism. Ablate by restoring k=224 while leaving the Gaussian decay and all computations unchanged.	original
9	8703d29f24c5d3c56b594dd3414ba773d90598d8	18.367378	16.817228	0.678	71.3	discard			low	Select between 80- and 224-neighbor Gaussian PCA using small-scale surface variation	The fixed-scale probes expose a strong bias-variance split: 80 neighbors improve clean, low-noise, stripe, and gradient cases by reducing curvature and neighborhood bias, while 224 neighbors improve medium and high noise through stronger averaging. This change computes both retained Gaussian-weighted PCA fits and uses the dimensionless small-scale surface variation lambda_min / sum(lambda) as confidence: values at or below 0.01 select the local 80-neighbor tangent, while less planar patches fall back to 224 neighbors for noise robustness. Expected gains are recovery of clean, low, stripe, and gradient accuracy without surrendering all medium/high-noise gains; genuinely curved small patches may be mistaken for noise and retain the broad biased fit. The cost is a second weighted covariance and eigendecomposition. Ablate by always selecting the 224-neighbor fit, exactly recovering the current frontier estimator.	original
